stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
319647,319647,Rothwell station,, -27.223072, 153.048128,1,https://translink.com.au/stop/319647/gtfs/,0,place_rotsta,
319650,319650,"Murrumba Downs station, stop B",, -27.251849, 153.012239,1,https://translink.com.au/stop/319650/gtfs/,0,place_mudsta,B
319651,319651,"Murrumba Downs station, stop A",, -27.251516, 153.010584,1,https://translink.com.au/stop/319651/gtfs/,0,place_mudsta,A
319748,319748,Bray Park station,, -27.299725, 152.985788,1,https://translink.com.au/stop/319748/gtfs/,0,place_brasta,
319795,319795,"Kippa-Ring station, stop A",, -27.225283, 153.081652,1,https://translink.com.au/stop/319795/gtfs/,0,place_kprsta,A
319796,319796,"Kippa-Ring stations, stop B",, -27.225051, 153.082108,1,https://translink.com.au/stop/319796/gtfs/,0,place_kprsta,B
319807,319807,"Kallangur station, stop A",, -27.257327, 152.999943,1,https://translink.com.au/stop/319807/gtfs/,0,place_kalsta,A
319808,319808,"Kallangur station, stop B",, -27.256888, 153.000605,1,https://translink.com.au/stop/319808/gtfs/,0,place_kalsta,B
319810,319810,"Petrie station, stop B",, -27.268263, 152.981740,1,https://translink.com.au/stop/319810/gtfs/,0,place_petsta,B
320003,320003,Thomas Street station - Tallon St,, -27.614505, 152.745063,1,https://translink.com.au/stop/320003/gtfs/,0,place_thmsta,
320004,320004,Wulkuraka station,, -27.614116, 152.733783,1,https://translink.com.au/stop/320004/gtfs/,0,place_wulsta,
320005,320005,Karrabin station,, -27.604226, 152.708998,1,https://translink.com.au/stop/320005/gtfs/,0,place_karsta,
320292,320292,Oxford Park station - Blaker Rd,, -27.404623, 152.968785,1,https://translink.com.au/stop/320292/gtfs/,0,place_oxfsta,
320300,320300,Windsor station - Prospect Rd,, -27.435519, 153.029125,1,https://translink.com.au/stop/320300/gtfs/,0,place_winsta,
320301,320301,Windsor station - Prospect Rd,, -27.435661, 153.029020,1,https://translink.com.au/stop/320301/gtfs/,0,place_winsta,
320312,320312,Mitchelton station - McConaghy St,, -27.411397, 152.976395,1,https://translink.com.au/stop/320312/gtfs/,0,place_mitsta,
320323,320323,Auchenflower station - Auchenflower Tce,, -27.475637, 152.996717,1,https://translink.com.au/stop/320323/gtfs/,0,place_aucsta,
320355,320355,Holland St at Northgate station,, -27.392993, 153.070191,1,https://translink.com.au/stop/320355/gtfs/,0,place_norsta,
320359,320359,Nudgee station - St Achs St,, -27.366942, 153.083177,1,https://translink.com.au/stop/320359/gtfs/,0,place_nudsta,
320361,320361,Wooloowin station - Chalk St,, -27.422301, 153.042241,1,https://translink.com.au/stop/320361/gtfs/,0,place_wolsta,
320365,320365,Deagon station - Albury St,, -27.327625, 153.063453,1,https://translink.com.au/stop/320365/gtfs/,0,place_deasta,
