stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,zone_id
3989172,,"Capelle aan den IJssel, Capelle Centrum",51.931562,4.590164,0,stoparea:617451,,1,2,
stoparea:617451,Cct,Capelle Centrum,51.931392,4.5896075,1,,,0,,
3989171,,"Capelle aan den IJssel, De Terp",51.935625,4.599515,0,stoparea:617499,,1,1,
stoparea:617499,Trp,De Terp,51.935795,4.600079,1,,,0,,
3989173,,"Capelle aan den IJssel, Capelle Centrum",51.931222,4.589051,0,stoparea:617451,,1,1,
3989175,,"Capelle aan den IJssel, Slotlaan",51.928403,4.577746,0,stoparea:617497,,1,1,
3989199,,"Rotterdam, Capelsebrug",51.921221,4.557043,0,stoparea:617453,,1,3,
3989226,,"Schiedam, Parkweg",51.921036,4.393111,0,stoparea:617486,,1,1,
stoparea:617486,Pwg,Parkweg,51.921167,4.393733,1,,,0,,
3989228,,"Schiedam, Troelstralaan",51.91525,4.383907,0,stoparea:617500,,1,1,
stoparea:617500,Tsl,Troelstralaan,51.915502000000004,4.3844755,1,,,0,,
3989230,,"Schiedam, Vijfsluizen",51.908548,4.371732,0,stoparea:617508,,1,1,
stoparea:617508,Vsz,Vijfsluizen,51.9089365,4.371978,1,,,0,,
3989232,,"Pernis, Pernis",51.88443,4.382125,0,stoparea:617483,,1,1,
stoparea:617483,Pns,Pernis,51.8848015,4.381928,1,,,0,,
3989166,,"Hoogvliet Rotterdam, Tussenwater",51.862905,4.376218,0,stoparea:617502,,1,20,
stoparea:617502,Twr,Tussenwater,51.8626285,4.37675725,1,,,0,,
3989151,,"Hoogvliet Rotterdam, Hoogvliet",51.860259,4.366521,0,stoparea:617465,,1,2,
stoparea:617465,Hvt,Hoogvliet,51.860639,4.3668245,1,,,0,,
3989153,,"Hoogvliet Rotterdam, Zalmplaat",51.854748,4.362349,0,stoparea:617510,,1,2,
stoparea:617510,Zpt,Zalmplaat,51.855047,4.362610999999999,1,,,0,,
3989155,,"Spijkenisse, Spijkenisse Centrum",51.84681,4.33478,0,stoparea:617498,,1,2,
stoparea:617498,Spc,Spijkenisse Centrum,51.8467645,4.334723,1,,,0,,
3989157,,"Spijkenisse, Heemraadlaan",51.837415,4.331619,0,stoparea:617463,,1,2,
stoparea:617463,Hrl,Heemraadlaan,51.8377925,4.3316099999999995,1,,,0,,
3989161,,"Spijkenisse, De Akkers",51.83332,4.320151,0,stoparea:617444,,1,1,
stoparea:617444,Aks,De Akkers,51.833325,4.3197155,1,,,0,,
3989160,,"Spijkenisse, Heemraadlaan",51.83817,4.331601,0,stoparea:617463,,1,1,
