service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
70812.061026.31,1,1,1,1,1,0,0,20261006,20261217
70824.070926.31,1,1,1,1,1,0,0,20260907,20261002
70824.061026.31,1,1,1,1,1,0,0,20261006,20261217
70836.070926.31,1,1,1,1,1,0,0,20260907,20261002
70836.061026.31,1,1,1,1,1,0,0,20261006,20261217
70848.070926.31,1,1,1,1,1,0,0,20260907,20261002
70848.061026.31,1,1,1,1,1,0,0,20261006,20261217
70860.070926.31,1,1,1,1,1,0,0,20260907,20261002
70860.061026.31,1,1,1,1,1,0,0,20261006,20261217
70872.070926.31,1,1,1,1,1,0,0,20260907,20261002
70872.061026.31,1,1,1,1,1,0,0,20261006,20261217
70884.070926.31,1,1,1,1,1,0,0,20260907,20261002
70884.061026.31,1,1,1,1,1,0,0,20261006,20261217
70896.070926.31,1,1,1,1,1,0,0,20260907,20261002
70896.061026.31,1,1,1,1,1,0,0,20261006,20261217
70908.070926.31,1,1,1,1,1,0,0,20260907,20261002
70908.061026.31,1,1,1,1,1,0,0,20261006,20261217
70920.070926.31,1,1,1,1,1,0,0,20260907,20261002
70920.061026.31,1,1,1,1,1,0,0,20261006,20261217
70932.070926.31,1,1,1,1,1,0,0,20260907,20261002
70932.061026.31,1,1,1,1,1,0,0,20261006,20261217
70944.070926.31,1,1,1,1,1,0,0,20260907,20261002
70944.061026.31,1,1,1,1,1,0,0,20261006,20261217
70956.070926.31,1,1,1,1,1,0,0,20260907,20261002
70956.061026.31,1,1,1,1,1,0,0,20261006,20261217
70968.070926.31,1,1,1,1,1,0,0,20260907,20261002
70968.061026.31,1,1,1,1,1,0,0,20261006,20261217
70980.070926.31,1,1,1,1,1,0,0,20260907,20261002
70980.061026.31,1,1,1,1,1,0,0,20261006,20261217
70992.070926.31,1,1,1,1,1,0,0,20260907,20261002
70992.061026.31,1,1,1,1,1,0,0,20261006,20261217
71004.070926.31,1,1,1,1,1,0,0,20260907,20261002
71004.061026.31,1,1,1,1,1,0,0,20261006,20261217
71016.070926.31,1,1,1,1,1,0,0,20260907,20261002
71016.061026.31,1,1,1,1,1,0,0,20261006,20261217
71028.070926.31,1,1,1,1,1,0,0,20260907,20261002
71028.061026.31,1,1,1,1,1,0,0,20261006,20261217
71040.070926.31,1,1,1,1,1,0,0,20260907,20261002
71040.061026.31,1,1,1,1,1,0,0,20261006,20261217
71052.070926.31,1,1,1,1,1,0,0,20260907,20261002
71052.061026.31,1,1,1,1,1,0,0,20261006,20261217
71064.070926.31,1,1,1,1,1,0,0,20260907,20261002
71064.061026.31,1,1,1,1,1,0,0,20261006,20261217
71076.070926.31,1,1,1,1,1,0,0,20260907,20261002
71076.061026.31,1,1,1,1,1,0,0,20261006,20261217
71088.070926.31,1,1,1,1,1,0,0,20260907,20261002
71088.061026.31,1,1,1,1,1,0,0,20261006,20261217
71100.070926.31,1,1,1,1,1,0,0,20260907,20261002
71100.061026.31,1,1,1,1,1,0,0,20261006,20261217
71112.070926.31,1,1,1,1,1,0,0,20260907,20261002
71112.061026.31,1,1,1,1,1,0,0,20261006,20261217
71124.070926.31,1,1,1,1,1,0,0,20260907,20261002
71124.061026.31,1,1,1,1,1,0,0,20261006,20261217
